R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1
Khabib Nurmagomedov,Edson Barboza,-410,330,24.3902439,330,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,3,0,41.58823529,0.448235294,0.058823529,0.411764706,0.215294118,4,4,40,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,0,8,0,45.5,0.51375,0.5,4.875,0.38,8,0,21,0,0,0,4,2,2,0,8,Orthodox,177.8,177.8,155,29,31,0,-5,-4,5,-4,19,0,4,-2,2.54,12.7,-2,-0.065514706,-0.441176471,-4.463235294,0,1
Dan Hooker,Marc Diakiese,165,-190,165,52.63157895,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,3,0,21,0.506666667,0,2.333333333,0.486666667,3,0,6,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,0,1,0,38.85714286,0.45,0.142857143,0.142857143,0.047142857,1,3,15,0,0,0,0,3,1,0,4,Switch,182.88,190.5,155,27,24,0,2,2,-1,3,-9,0,-1,-1,-5.08,-5.08,3,0.056666667,-0.142857143,2.19047619,0,1
Cynthia Calvillo,Carla Esparza,-220,180,45.45454545,180,12/30/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE,3,1,0,0,26.5,0.385,0.5,3.75,0.4675,1,2,11,2,0,0,1,0,1,0,2,Orthodox,154.94,160.02,115,0,3,0,39,0.423333333,2.666666667,1.333333333,0.8,3,0,7,0,0,0,1,0,2,0,3,Orthodox,162.56,162.56,115,30,30,-1,-3,-2,-1,-2,4,2,0,-1,-7.62,-2.54,0,-0.038333333,-2.166666667,2.416666667,0,1
Carlos Condit,Neil Magny,-130,110,76.92307692,110,12/30/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,46.17647059,0.432941176,0.294117647,2.058823529,0.45,7,5,44,0,0,1,6,4,1,0,12,Orthodox,190.5,203.2,170,2,0,0,58.61538462,0.361538462,0.692307692,0.461538462,0.146923077,5,6,38,3,0,1,1,4,0,1,7,Orthodox,187.96,190.5,170,33,30,1,0,2,5,1,6,-3,-1,1,2.54,12.7,3,0.071402714,-0.398190045,1.597285067,0,1
Khalil Rountree Jr.,Michal Oleksiejczuk,-360,300,27.77777778,300,12/30/2017,"Las Vegas, Nevada, USA", USA,Draw,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,205,0,2,0,8.75,0.56,0,0,0,2,2,6,1,0,0,0,2,0,0,2,Southpaw,185.42,193.04,205,27,22,0,-2,-2,-2,2,-6,-1,-2,0,-2.54,-5.08,5,-0.56,0,0,0,1
Myles Jury,Rick Glenn,-175,155,57.14285714,155,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Featherweight,MALE,3,0,2,0,84,0.47,0.333333333,1.333333333,0.19,2,1,9,0,0,1,1,0,0,0,2,Southpaw,182.88,177.8,145,0,1,0,23,0.365555556,0.222222222,1.555555556,0.477777778,6,2,18,0,0,1,2,3,1,0,7,Orthodox,177.8,185.42,145,29,28,0,1,-4,-5,1,-9,0,-3,-1,5.08,-7.62,1,0.104444444,0.111111111,-0.222222223,0,1
Marvin Vettori,Omari Akhmedov,-270,230,37.03703704,230,12/30/2017,"Las Vegas, Nevada, USA", USA,Draw,FALSE,Middleweight,MALE,3,0,2,0,30.625,0.38125,0.25,2.375,0.4475,2,3,18,0,0,1,2,2,0,0,5,Orthodox,182.88,185.42,185,0,1,0,36,0.513333333,0.666666667,1.666666667,0.806666667,1,1,7,0,0,0,1,0,1,0,2,Southpaw,182.88,187.96,185,24,30,0,1,1,3,-2,11,0,2,-1,0,-2.54,-6,-0.132083333,-0.416666667,0.708333333,0,1
Louis Smolka,Matheus Nicolau,170,-200,170,50,12/30/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Flyweight,MALE,3,0,2,0,43.5,0.535,1.5,1.5,0.375,2,0,6,0,0,1,0,0,1,0,2,Orthodox,167.64,167.64,125,3,0,0,47,0.481111111,2,1.444444444,0.327777778,4,4,23,0,0,0,2,2,1,0,5,Orthodox,175.26,172.72,135,26,24,3,2,-2,-3,4,-17,0,-2,0,-7.62,-5.08,2,0.053888889,-0.5,0.055555556,0,1
Tim Elliott,Mark De La Rosa,-190,165,52.63157895,165,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,1,0,0,46.66666667,0.472222222,1.111111111,3.888888889,0.594444444,2,6,25,1,0,0,3,0,0,0,3,Southpaw,170.18,167.64,135,31,23,1,0,-2,-3,6,-25,-1,0,0,-2.54,-2.54,8,-0.472222222,-1.111111111,-3.888888889,0,1
Robbie Lawler,Rafael Dos Anjos,105,-125,105,80,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Blue,FALSE,Welterweight,MALE,5,0,2,0,39.43478261,0.439565217,0.608695652,1.739130435,0.301304348,5,7,59,3,0,0,9,4,3,0,16,Southpaw,172.72,177.8,170,0,1,0,49.88888889,0.460555556,0,0.888888889,0.361111111,5,5,52,5,0,3,4,6,0,0,13,Southpaw,180.34,187.96,170,35,33,0,1,0,3,-2,7,-2,-2,3,-7.62,-10.16,2,-0.020990339,0.608695652,0.850241546,0,1
Ricardo Lamas,Josh Emmett,-290,245,34.48275862,245,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Blue,FALSE,Featherweight,MALE,3,0,1,0,62.25,0.37,0.25,2.25,0.29,2,1,12,0,0,1,2,0,0,0,3,Orthodox,167.64,177.8,145,0,2,0,30.25,0.468333333,0.666666667,1.083333333,0.326666667,4,3,27,1,0,0,3,3,3,0,9,Orthodox,172.72,180.34,145,35,32,0,-1,-2,-6,2,-15,-1,-3,-3,-5.08,-2.54,3,-0.098333333,-0.416666667,1.166666667,0,1
Santiago Ponzinibbio,Mike Perry,-155,135,64.51612903,135,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Welterweight,MALE,3,0,2,0,39,0.506,0,0,0,2,1,10,0,0,0,0,4,0,0,4,Orthodox,177.8,180.34,170,0,5,0,35.77777778,0.42,0,0.111111111,0.036666667,5,2,18,0,0,0,3,4,0,0,7,Orthodox,182.88,185.42,170,31,26,0,-3,-3,-3,1,-8,0,0,0,-5.08,-5.08,5,0.086,0,-0.111111111,0,1
Glover Teixeira,Misha Cirkunov,125,-145,125,68.96551724,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,23.4,0.538,0.6,1.8,0.448,4,1,8,0,0,0,0,1,3,0,4,Orthodox,190.5,195.58,205,1,0,0,34.46153846,0.440769231,0.384615385,1.461538462,0.346153846,5,4,31,1,0,0,2,3,3,1,9,Orthodox,187.96,193.04,205,38,30,0,0,-1,-5,3,-23,-1,-3,0,2.54,2.54,8,0.097230769,0.215384615,0.338461538,0,1
Jared Cannonier,Jan Blachowicz,-190,165,52.63157895,165,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Blue,FALSE,Light Heavyweight,MALE,3,0,1,0,41.28571429,0.535714286,0.285714286,1,0.5,1,4,18,0,0,0,1,1,1,0,3,Orthodox,187.96,198.12,205,0,1,0,40.2,0.584,0,0.2,0.2,2,2,11,0,0,0,1,2,0,0,3,Switch,180.34,195.58,185,33,34,0,0,-1,0,-2,7,0,-1,1,7.62,2.54,-1,-0.048285714,0.285714286,0.8,0,1
Julian Marquez,Darren Stewart,-340,280,29.41176471,280,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Middleweight,MALE,3,3,0,0,14.66666667,0.473333333,0,0.666666667,0.233333333,0,3,5,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,185,27,26,-3,0,0,0,-3,5,0,0,0,-5.08,-2.54,1,0.473333333,0,0.666666667,0,1
Chad Laprise,Galore Bofando,-145,125,68.96551724,125,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Welterweight,MALE,3,0,1,0,10,0.4,0,1,1,1,0,1,0,0,0,0,1,0,0,1,Switch,180.34,182.88,170,0,2,0,52.71428571,0.432857143,0,0.714285714,0.224285714,3,2,17,1,0,1,2,2,0,0,5,Orthodox,177.8,180.34,170,31,35,0,-1,-2,-4,2,-16,-1,-1,0,2.54,2.54,-4,-0.032857143,0,0.285714286,0,1
Nordine Taleb,Danny Roberts,-155,135,64.51612903,135,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Welterweight,MALE,3,0,1,0,42.75,0.3825,0.25,0,0,2,1,9,0,0,0,1,1,1,0,3,Southpaw,185.42,187.96,170,0,1,0,42.57142857,0.545714286,0,2.142857143,0.642857143,3,2,19,0,0,1,3,1,0,0,5,Orthodox,185.42,187.96,170,36,30,0,0,-1,-2,1,-10,0,0,1,0,0,6,-0.163214286,0.25,-2.142857143,0,1
John Makdessi,Abel Trujillo,125,-145,125,68.96551724,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Lightweight,MALE,3,1,0,0,24.4,0.372,0.3,1.4,0.543,3,4,21,0,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,1,0,0,57.07692308,0.489230769,0,0,0,3,6,30,0,0,1,3,3,0,0,7,Orthodox,172.72,172.72,155,32,34,0,0,0,-1,2,-9,0,0,1,0,5.08,-2,-0.117230769,0.3,1.4,0,1
Alessio Di Chirico,Oluwale Bamgbose,-160,140,62.5,140,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Middleweight,MALE,3,2,0,0,17,0.475,0,0.5,0.1,1,3,7,0,0,0,0,1,0,0,1,Switch,180.34,198.12,185,1,0,0,42.33333333,0.456666667,0,1.333333333,0.33,1,2,7,0,0,1,0,0,0,0,1,Orthodox,182.88,187.96,185,28,30,-1,0,0,0,-1,0,0,1,0,-2.54,10.16,-2,0.018333333,0,-0.833333333,0,1
Jordan Mein,Erick Silva,-160,140,62.5,140,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Red,FALSE,Welterweight,MALE,3,1,0,0,18,0.548571429,0.714285714,0.428571429,0.172142857,2,7,25,0,0,0,0,2,5,0,7,Orthodox,182.88,187.96,170,3,0,0,30.85714286,0.524285714,0.142857143,1.142857143,0.251428571,2,4,15,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,28,33,2,0,0,4,-3,10,0,0,5,0,2.54,-5,0.024285715,0.571428571,-0.714285714,0,1
Cub Swanson,Brian Ortega,100,-120,100,83.33333333,12/9/2017,"Fresno, California, USA", USA,Blue,FALSE,Featherweight,MALE,5,0,4,0,40,0.354,1.2,0.2,0.066,4,1,13,0,0,0,0,2,2,0,4,Switch,172.72,175.26,145,0,4,0,66.07692308,0.486153846,0.153846154,0.846153846,0.466153846,6,3,40,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,34,26,0,0,-2,-6,2,-27,0,-2,2,0,-2.54,8,-0.132153846,1.046153846,-0.646153846,0,1
Jason Knight,Gabriel Benitez,-330,270,30.3030303,270,12/9/2017,"Fresno, California, USA", USA,Blue,FALSE,Featherweight,MALE,3,1,0,0,36.8,0.412,1.4,0,0,2,2,12,0,0,0,1,0,2,0,3,Southpaw,172.72,180.34,145,1,0,0,43.5,0.396666667,2,1.5,0.383333333,4,2,15,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,145,25,29,0,0,-2,-1,0,-3,0,-1,1,-5.08,0,-4,0.015333333,-0.6,-1.5,0,1
Marlon Moraes,Aljamain Sterling,-145,135,68.96551724,135,12/9/2017,"Fresno, California, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,50.125,0.49875,0.875,2,0.5575,4,2,23,0,0,0,3,1,2,0,6,Orthodox,170.18,180.34,135,0,1,0,44.5,0.315,0.5,0.5,0.25,1,1,6,0,0,1,0,0,0,0,1,Orthodox,167.64,170.18,135,29,28,0,1,3,5,-1,17,0,1,2,2.54,10.16,1,0.18375,0.375,1.5,0,1
Scott Holtzman,Darrell Horcher,-145,125,68.96551724,125,12/9/2017,"Fresno, California, USA", USA,Red,FALSE,Lightweight,MALE,3,0,1,0,21.5,0.35,1,0,0,1,1,5,0,0,1,0,0,0,0,1,Southpaw,177.8,177.8,155,0,1,0,66.2,0.498,0.4,2.2,0.596,1,2,15,0,0,0,2,0,1,0,3,Orthodox,175.26,175.26,155,34,30,0,0,0,-2,1,-10,0,0,-1,2.54,2.54,4,-0.148,0.6,-2.2,0,1
Eryk Anders,Markus Perez,-470,375,21.27659574,375,12/9/2017,"Fresno, California, USA", USA,Red,FALSE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,185,0,1,0,23,0.79,0,1,0.5,1,0,1,0,0,0,0,1,0,0,1,Southpaw,185.42,190.5,185,30,29,0,-1,-1,-1,0,-1,0,-1,0,0,-5.08,1,-0.79,0,-1,0,1
Albert Morales,Benito Lopez,105,-125,105,80,12/9/2017,"Fresno, California, USA", USA,Blue,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,177.8,185.42,135,1,0,0,45.25,0.31,0,0.5,0.2075,1,3,11,0,0,1,0,0,0,0,1,Orthodox,175.26,182.88,135,26,23,1,0,-1,-1,3,-11,0,0,0,2.54,2.54,3,-0.31,0,-0.5,0,1
Alexis Davis,Liz Carmouche,105,-125,105,80,12/9/2017,"Fresno, California, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,2,0,30,0.545,0.333333333,2.5,0.588333333,2,3,15,1,0,1,1,1,0,0,3,Orthodox,167.64,167.64,125,0,1,0,36.42857143,0.45,1,0.571428571,0.284285714,3,2,17,1,0,1,3,0,1,0,5,Orthodox,167.64,172.72,125,33,33,0,1,-1,-2,-1,-2,0,1,-1,0,-5.08,0,0.095,-0.666666667,1.928571429,0,1
Luke Sanders,Andre Soukhamthath,-345,285,28.98550725,285,12/9/2017,"Fresno, California, USA", USA,Blue,FALSE,Bantamweight,MALE,3,2,0,0,44.5,0.395,0,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,135,1,0,0,60,0.62,0.5,0.5,0.25,1,1,3,0,0,0,0,0,1,0,1,Southpaw,167.64,170.18,135,31,29,-1,0,-1,-1,-1,3,0,0,-1,7.62,7.62,2,-0.225,-0.5,-0.5,0,1
Carls John De Tomas,Alex Perez,335,-420,335,23.80952381,12/9/2017,"Fresno, California, USA", USA,Blue,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,1,0,0,30,0.4,0,2,0.5,0,1,3,0,0,0,0,0,0,0,0,Southpaw,165.1,180.34,125,21,25,1,0,0,0,1,-3,0,0,0,2.54,-15.24,-4,-0.4,0,-2,0,1
Frankie Saenz,Merab Dvalishvili,165,-190,165,52.63157895,12/9/2017,"Fresno, California, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,3,0,0,57,0.438333333,0.166666667,1.666666667,0.285,3,3,18,0,0,1,2,0,0,0,3,Orthodox,167.64,167.64,135,37,26,3,0,-3,-3,3,-18,0,0,0,0,5.08,11,-0.438333333,-0.166666667,-1.666666667,0,1
Alejandro Perez,Iuri Alcantara,155,-175,155,57.14285714,12/9/2017,"Fresno, California, USA", USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,27.2,0.472,0.533333333,1.066666667,0.410666667,3,6,34,0,0,1,4,2,2,0,9,Southpaw,175.26,180.34,135,0,1,0,38.33333333,0.348333333,0.166666667,0.5,0.165,2,2,13,1,0,1,1,2,0,0,4,Orthodox,167.64,170.18,135,28,37,-1,-1,1,5,-4,21,-1,0,2,7.62,10.16,-9,0.123666667,0.366666666,0.566666667,0,1
Chris Gruetzemacher,Davi Ramos,325,-400,325,25,12/9/2017,"Fresno, California, USA", USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,35,0.28,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,155,1,0,0,65.5,0.605,0,0,0,1,1,5,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,155,31,31,0,0,-1,-1,0,-2,0,0,0,-5.08,5.08,0,-0.325,0,0,0,1
Antonio Braga Neto,Trevin Giles,230,-270,230,37.03703704,12/9/2017,"Fresno, California, USA", USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,41,0.77,0,5,1,1,0,2,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,185,1,0,0,11,0.45,0.5,2,0.35,1,1,4,0,0,0,0,0,1,0,1,Orthodox,190.5,195.58,185,30,25,1,1,0,0,1,-2,0,1,-1,-7.62,-7.62,5,0.32,-0.5,3,0,1
Max Holloway,Jose Aldo,-260,220,38.46153846,220,12/2/2017,"Detroit, Michigan, USA", USA,Red,TRUE,Featherweight,MALE,5,1,0,0,56.4,0.411,0.3,1.2,0.238,7,2,39,10,0,0,6,2,0,0,8,Orthodox,170.18,177.8,145,0,11,0,68.41176471,0.431764706,0.411764706,0.235294118,0.176470588,11,3,43,2,0,1,4,7,2,0,14,Orthodox,180.34,175.26,155,25,31,-1,-11,-4,-6,1,-4,8,-5,-2,-10.16,2.54,-6,-0.020764706,-0.111764706,0.964705882,0,1
Alistair Overeem,Francis Ngannou,210,-230,210,43.47826087,12/2/2017,"Detroit, Michigan, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,5,0,15.6,0.596,0.2,0,0,5,0,7,0,0,0,0,3,1,1,5,Orthodox,193.04,210.82,250,0,2,0,34.33333333,0.721666667,0.083333333,0.25,0.208333333,4,4,24,1,1,0,2,5,0,0,8,Orthodox,193.04,203.2,265,37,31,0,3,1,-3,4,-17,-1,-1,1,0,7.62,6,-0.125666667,0.116666667,-0.25,0,1
Henry Cejudo,Sergio Pettis,-320,260,31.25,260,12/2/2017,"Detroit, Michigan, USA", USA,Red,FALSE,Flyweight,MALE,3,0,4,0,58.11111111,0.388888889,0.555555556,1.222222222,0.364444444,4,2,28,0,0,0,7,0,0,0,7,Orthodox,167.64,175.26,135,0,1,0,47.85714286,0.444285714,0.142857143,1.857142857,0.53,4,2,18,1,0,1,3,1,0,0,5,Orthodox,162.56,162.56,135,30,24,0,3,0,2,0,10,-1,-1,0,5.08,12.7,6,-0.055396825,0.412698413,-0.634920635,0,1
Eddie Alvarez,Justin Gaethje,150,-170,150,58.82352941,12/2/2017,"Detroit, Michigan, USA", USA,Red,FALSE,Lightweight,MALE,3,0,1,0,104,0.59,0,0,0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,180.34,177.8,155,2,0,0,36.5,0.4,0,1.833333333,0.208333333,3,3,14,2,0,2,0,1,0,0,3,Orthodox,175.26,175.26,155,33,29,2,1,-2,-2,3,-12,-2,0,0,5.08,2.54,4,0.19,0,-1.833333333,0,1
Tecia Torres,Michelle Waterson,-250,210,40,210,12/2/2017,"Detroit, Michigan, USA", USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,27,0.713333333,2,1.666666667,1,2,1,6,0,0,0,0,0,2,0,2,Orthodox,160.02,157.48,115,0,2,0,60.33333333,0.503333333,0.166666667,0.666666667,0.276666667,3,1,17,0,0,0,4,0,1,0,5,Orthodox,154.94,152.4,115,28,31,-1,-2,-1,-3,0,-11,0,0,1,5.08,5.08,-3,0.21,1.833333333,1,0,1
Charles Oliveira,Paul Felder,-135,115,74.07407407,115,12/2/2017,"Detroit, Michigan, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,2,0,39.66666667,0.44,0.333333333,0.333333333,0.166666667,2,3,22,0,0,1,1,3,1,0,6,Orthodox,180.34,177.8,155,0,1,0,22.05555556,0.513888889,1.277777778,1.333333333,0.435,4,8,34,0,0,0,1,0,9,0,10,Orthodox,177.8,187.96,155,28,33,0,1,-2,-4,5,-12,0,3,-8,2.54,-10.16,-5,-0.073888889,-0.944444445,-1,0,1
Alex Oliveira,Yancy Medeiros,-390,320,25.64102564,320,12/2/2017,"Detroit, Michigan, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,27.9,0.35,0.4,0,0,2,5,17,0,0,1,0,1,3,0,5,Orthodox,177.8,190.5,155,0,2,0,23.1,0.493,0.6,2.1,0.235,3,3,22,0,0,0,2,3,2,0,7,Orthodox,180.34,193.04,170,29,30,0,0,-1,-2,-2,-5,0,-2,1,-2.54,-2.54,-1,-0.143,-0.2,-2.1,0,1
David Teymur,Drakkar Klose,-130,110,76.92307692,110,12/2/2017,"Detroit, Michigan, USA", USA,Red,FALSE,Lightweight,MALE,3,0,1,0,68,0.61,0,2,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,155,0,3,0,51.33333333,0.496666667,0,1,0.426666667,3,0,7,0,0,0,1,2,0,0,3,Southpaw,175.26,185.42,155,28,29,0,-2,-2,-2,0,-4,0,-2,0,0,-7.62,-1,0.113333333,0,1,0,1
Felice Herrig,Cortney Casey,-115,-105,86.95652174,95.23809524,12/2/2017,"Detroit, Michigan, USA", USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,1,0,50,0.478333333,0.166666667,0.333333333,0.166666667,2,3,14,0,0,0,1,1,1,0,3,Orthodox,170.18,170.18,115,0,3,0,31.2,0.466,1.2,1.2,0.58,3,1,12,0,0,0,2,0,2,0,4,Orthodox,162.56,165.1,115,33,30,0,-2,-1,-1,-2,2,0,1,-1,7.62,5.08,3,0.012333333,-1.033333333,-0.866666667,0,1
Amanda Cooper,Angela Magana,-525,415,19.04761905,415,12/2/2017,"Detroit, Michigan, USA", USA,Red,FALSE,Women's Strawweight,FEMALE,3,2,0,0,22.5,0.29,0.5,0.5,0.5,0,2,6,0,0,0,0,0,0,0,0,Orthodox,154.94,165.1,115,1,0,0,25.66666667,0.3,1,0.666666667,0.22,1,2,5,1,0,0,1,0,0,0,1,Switch,160.02,162.56,115,26,34,-1,0,-1,-1,0,1,-1,0,0,-5.08,2.54,-8,-0.01,-0.5,-0.166666667,0,1
Sabah Homasi,Abdul Razak Alhassan,225,-265,225,37.73584906,12/2/2017,"Detroit, Michigan, USA", USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,27.5,0.485,0,0,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,1,0,0,33,0.41,0,2,1,0,1,2,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,29,32,0,0,1,1,0,2,0,1,0,-5.08,2.54,-3,0.075,0,-2,0,1
Jeremy Kimball,Dominick Reyes,415,-525,415,19.04761905,12/2/2017,"Detroit, Michigan, USA", USA,Blue,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,193.04,195.58,205,0,1,0,11,0.485,0,0,0,1,1,2,0,0,0,0,1,0,0,1,Switch,182.88,182.88,205,26,27,0,-1,-1,-1,1,-2,0,-1,0,10.16,12.7,-1,-0.485,0,0,0,1
Justin Willis,Allen Crowder,-230,190,43.47826087,190,12/2/2017,"Detroit, Michigan, USA", USA,Red,FALSE,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,245,0,1,0,52,0.57,0,3,0.75,1,0,3,0,0,0,1,0,0,0,1,Southpaw,185.42,198.12,264,30,28,0,-1,-1,-1,0,-3,0,0,0,5.08,-5.08,2,-0.57,0,-3,0,1
Nicco Montano,Roxanne Modafferi,-210,175,47.61904762,175,12/1/2017,"Las Vegas, Nevada, USA", USA,Red,TRUE,Women's Flyweight,FEMALE,5,1,0,0,42,0.21,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,125,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,165.1,125,28,35,-1,0,0,0,-1,3,0,0,0,5.08,10.16,-7,0.21,0,0,0,1
Sean O'Malley,Terrion Ware,-230,190,43.47826087,190,12/1/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,60,0.39,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,182.88,135,23,31,-1,0,0,0,-1,3,0,0,0,-7.62,-2.54,-8,0.39,0,0,0,1
Barb Honchak,Lauren Murphy,-240,200,41.66666667,200,12/1/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,56.75,0.4575,0,1,0.2,1,3,12,0,0,0,0,1,0,0,1,Orthodox,170.18,170.18,125,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,165.1,125,38,34,-1,0,1,1,-3,12,0,1,0,7.62,5.08,4,0.4575,0,1,0,1
Eric Spicely,Gerald Meerschaert,150,-170,150,58.82352941,12/1/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,10.66666667,0.473333333,0.666666667,1,0.123333333,2,1,4,0,0,0,0,0,2,0,2,Southpaw,185.42,195.58,185,0,2,0,4.333333333,0.573333333,0.666666667,0.666666667,0.276666667,2,1,3,0,0,0,0,0,2,0,2,Orthodox,185.42,185.42,185,31,29,-1,-2,0,0,0,1,0,0,0,0,10.16,2,-0.1,0,0.333333333,0,1
DeAnna Bennett,Melinda Fabian,-550,425,18.18181818,425,12/1/2017,"Las Vegas, Nevada, USA", USA,Draw,FALSE,Women's Flyweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,125,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,125,33,30,0,0,0,0,0,0,0,0,0,5.08,-5.08,3,0,0,0,0,1
