R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details
Kamaru Usman,Jorge Masvidal,-240,190,41.66666667,190.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Welterweight,MALE,5,0,3,0,4.33,0.47,0.4,1.7,0.59,4,7,65,1,0,1,8,7,1,0,17,Orthodox,180.34,187.96,170,0,11,0,4.6,0.52,0.2,3.44,0.5,11,0,38,3,0,0,8,2,1,0,11,Switch,182.88,193.04,170,33,36,0,-8,-7,6,-7,27,-2,5,0,-2.54,-5.08,-3,-0.27,0.2,-1.74,1,1,3.0,0.0,,,,,,,,0.0,,,,,6.0,,,,,,,,3.0,,,,,,Red,U-DEC,
Alexander Volkanovski,Max Holloway,-210,170,47.61904762,170.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Featherweight,MALE,3,1,0,0,6.66,0.44,0.4,0.24,0.83,13,5,65,7,0,1,5,9,2,0,17,Orthodox,180.34,175.26,145,0,8,0,6.15,0.57,0.4,2.16,0.34,8,0,23,1,0,0,5,3,0,0,8,Orthodox,167.64,180.34,145,31,28,1,-8,5,9,5,42,6,6,2,12.7,-5.08,-3,0.51,0.0,-1.92,1,1,1.0,0.0,,,,,,,,,,0.0,,,7.0,,,,,,,,,,1.0,,,9.0,Red,S-DEC,
Petr Yan,Jose Aldo,-215,175,46.51162791,175.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Bantamweight,MALE,3,2,0,0,3.47,0.44,0.1,0.64,0.65,15,5,68,14,0,0,7,11,0,0,18,Orthodox,170.18,177.8,135,0,6,0,5.65,0.46,0.2,1.73,0.53,6,0,15,0,0,0,3,3,0,0,6,Switch,170.18,170.18,135,27,33,2,-6,9,12,5,53,14,8,0,0.0,7.62,6,-2.18,-0.1,-1.09,1,1,6.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,13.0,6.0,,,Red,KO/TKO,Punches
Jessica Andrade,Rose Namajunas,175,-215,175.0,46.51162791,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Women's Strawweight,FEMALE,3,1,0,0,3.95,0.42,0.9,2.17,0.55,3,3,25,4,0,0,2,1,3,0,6,Orthodox,165.1,165.1,115,1,0,0,6.55,0.51,0.5,3.21,0.58,4,5,36,3,0,1,5,3,2,0,11,Orthodox,154.94,157.48,115,28,28,0,0,-1,-5,-2,-11,1,-2,1,10.16,7.62,0,-2.6,0.4,-1.04,1,1,2.0,1.0,,,1.0,,,,,,,,,,4.0,,,2.0,,,,,,,,,,6.0,Red,S-DEC,
Amanda Ribas,Paige VanZant,-770,500,12.98701299,500.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,FEMALE,3,0,1,0,3.4,0.52,1.0,1.31,0.33,3,3,22,0,0,0,1,2,2,0,5,Orthodox,162.56,165.1,115,0,3,0,4.84,0.44,1.6,2.02,0.5,3,0,8,0,0,0,2,0,1,0,3,Orthodox,160.02,167.64,115,26,26,0,-2,0,2,3,14,0,2,1,2.54,-2.54,0,-1.44,-0.6,-0.71,1,1,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar
Volkan Oezdemir,Jiri Prochazka,-159,129,62.89308176,129.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Light Heavyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,205,0,2,0,4.88,0.45,0.0,0.39,0.22,3,3,18,1,0,2,0,3,0,0,5,Orthodox,187.96,190.5,205,30,27,0,-2,-3,-5,-3,-18,-1,-3,0,5.08,2.54,-3,-4.88,0.0,-0.39,1,1,,7.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch
Elizeu Zaleski dos Santos,Muslim Salikhov,108,-134,108.0,74.62686567,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Welterweight,MALE,3,0,3,0,2.92,0.46,0.0,1.22,0.42,3,1,8,0,0,0,1,2,0,0,3,Orthodox,180.34,177.8,170,0,1,0,4.17,0.39,0.5,0.65,0.2,7,2,25,0,0,1,3,3,1,0,8,Orthodox,180.34,185.42,170,33,36,0,2,-4,-5,-1,-17,0,-1,-1,0.0,-7.62,3,-1.25,-0.5,0.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,
Makwan Amirkhani,Danny Henry,-215,170,46.51162791,170.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Featherweight,MALE,3,1,0,0,5.85,0.53,2.7,0.89,0.33,2,1,5,0,0,0,1,0,1,0,2,Orthodox,182.88,185.42,145,1,0,0,1.6,0.47,1.5,3.39,0.34,3,2,16,0,0,1,1,1,2,0,5,Southpaw,177.8,182.88,145,31,31,0,0,-1,-3,-1,-11,0,-1,-1,5.08,2.54,0,4.25,1.2,-2.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke
Leonardo Santos,Roman Bogatov,-177,145,56.49717514,145.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,155,0,6,1,2.4,0.41,0.4,1.1,0.25,5,0,15,1,0,1,1,2,2,0,6,Orthodox,182.88,190.5,155,40,29,0,-6,-5,-6,0,-15,-1,-2,-2,-10.16,-17.78,-11,-2.4,-0.4,-1.1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Marcin Tybura,Maxim Grishin,-112,-112,89.28571429,89.28571429,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Heavyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,265,0,1,0,3.52,0.5,0.1,1.54,0.5,3,5,28,0,0,0,3,2,0,0,5,Orthodox,190.5,198.12,249,34,36,0,-1,-3,-5,-5,-28,0,-2,0,0.0,0.0,-2,-3.52,-0.1,-1.54,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
